identity	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
thalassotalea thalassomonas loyana	48	111	0	37	147	174	5	0	404	11	1287	53	0	16	2	0	5507	0	32	7	0	0
flavobacteriaceae	6	7	0	0	2	3	0	0	12	0	0	0	0	1	0	18	0	0	0	0	0	0
deltaproteobacteria	0	21	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neptuniibacter halophilus	4	0	0	37	947	11	1	0	559	42	32	0	0	599	0	0	116	0	91	3	0	0
ruegeria pomeroyi	6	10	0	0	1	12	0	0	0	1	18	25	0	13	1	0	57	0	0	0	0	0
bacillus weihenstephanensis	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
oceanobacter kriegii	0	0	0	10	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
vibrio fortis	0	0	0	0	145	7	1	0	0	89	0	0	0	5	107	0	0	0	0	35	0	0
acinetobacter radioresistens	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	35	0	0	0	0
marinifilum	1	8	0	3	243	0	467	0	15	394	2	5	0	0	172	9	171	0	13	159	0	0
enterococcus faecalis	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	5	0	0	520
spongiibacter tropicus	0	5	0	7	7	0	0	0	40	0	1	3	0	9	0	18	0	0	0	0	0	0
ferrimonas kyonanesis	0	0	0	0	0	0	2	0	0	2	0	0	0	0	139	0	0	0	0	0	0	0
maricaulis maris	0	0	0	0	8	1	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
rhodobacteraceae	0	1	0	0	3	0	0	0	0	0	3	5	0	8	0	0	5	0	29	0	0	0
raoultella planticola	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
vibrio sinaloensis	0	0	0	0	0	0	3	0	0	109	0	0	0	0	54	0	2	0	0	67	0	0
salmonella enterica	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	20	0	25	1139
oceanospirillaceae	2	1	0	7	166	13	0	0	66	0	37	2	0	110	0	0	4	1	11	0	0	0
flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0
donghicola eburneus	0	0	0	7	1	0	1	4	3	0	0	0	0	0	0	0	7	0	0	0	0	0
caulobacterales	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0
alteromonas macleodii	45	91	0	87	820	524	1	0	1608	57	637	51	4	761	14	33	1512	0	625	69	0	0
stappiaceae	0	0	1	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
flammeovirga aprica	0	0	0	0	7	6	0	0	0	17	0	0	0	0	0	8	0	0	0	0	0	0
halieaceae	2	0	13	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0
psychrobacter celer	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0
thalassomonas fusca	2	9	0	0	19	6	0	0	32	1	4	10	0	0	0	0	0	36	0	0	0	0
ralstonia pickettii	0	10	6	13	3	0	0	17	0	0	0	19	0	12	0	33	0	77	8	0	972	0
psychrosphaera saromensis	6	9	0	2	63	26	1	0	49	4	99	5	0	3	0	0	271	0	4	1	0	0
terasakiella	0	0	0	0	6	0	0	0	11	0	3	0	0	5	0	0	0	0	0	0	0	0
pseudomonas straminea	0	0	0	23	0	0	0	4	0	0	2	0	0	1	0	20	11	79	33	0	107	0
prochlorotrichaceae	0	0	39	0	0	0	0	0	0	0	0	0	0	1127	0	0	0	0	0	0	0	0
hyphomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
geminicoccaceae	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oleiphilus	0	2	0	5	3	7	0	0	0	0	1	0	0	1	0	16	18	0	3	0	0	0
tenericutes	0	0	0	0	11	4	0	0	29	1	32	0	0	21	0	0	0	0	0	1	0	0
bacillus beringensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
euryarchaeota	0	0	0	5	26	0	0	0	31	0	0	0	0	90	0	0	0	0	0	0	0	0
tateyamaria omphalii	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0
maritimibacter alkaliphilus	2	25	0	4	2	9	0	0	0	0	0	7	0	0	0	15	0	0	0	0	0	0
desulfovibrio marinisediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	34	0	0
aquabacterium parvum	0	2	0	0	0	0	0	1	5	0	0	6	0	1	0	11	3	0	13	0	10	1
litoricola marina	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	24	0	0	0	0
pseudofulvibacter flavobacteriaceae bacterium ycs_9	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
hyphomonadaceae	1	0	0	0	0	4	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0
marinifilaceae	1	4	0	11	422	3	2335	0	9	1163	2	2	0	10	208	0	473	0	4	1137	0	0
serratia fonticola	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
rubritalea tangerina	0	0	0	0	0	0	0	0	0	0	0	90	0	3	0	0	0	0	0	0	0	0
staphylococcus pasteuri	5	1	5	29	0	1	0	17	0	1	0	15	0	0	0	57	1	0	21	0	13	2935
arenicellaceae	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
primorskyibacter sedentarius	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	25	0	0	0	0
xanthomonas vesicatoria	0	1	0	0	0	0	0	10	0	0	1	4	1	0	0	1	0	0	0	0	0	0
psychrobium gammaproteobacteria bacterium	1	3	0	1	4	8	0	0	6	0	8	0	0	0	0	3	72	0	0	0	0	0
nautella italica	6	8	0	2	1	21	0	0	3	2	44	12	0	13	0	0	140	0	5	1	0	0
staphylococcus epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1492
neptuniibacter caesariensis	5	9	0	6	58	22	0	0	87	1	115	4	0	33	5	0	1012	0	0	2	0	0
thalassospira xiamenensis	0	0	0	0	5	2	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0
alkaliphilus	0	0	0	0	0	0	3	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0
kordiimonas gwangyangensis	8	0	0	12	1	1	0	0	0	0	3	5	0	2	0	0	56	0	0	0	0	0
staphylococcus hyicus	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	642
marinobacterium rhizophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
exiguobacterium panipatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
acinetobacter genomosp. 3	0	4	5	4	2	1	0	17	2	1	0	12	0	0	0	38	9	8	42	0	644	0
oleibacter marinus	0	14	0	12	43	7	0	0	55	1	31	0	0	41	0	5	7	0	0	0	0	0
streptococcus salivarius	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0
aestuariibacter aggregatus	15	12	0	25	571	42	0	0	1019	7	14	11	0	699	2	18	26	0	51	3	0	0
photobacterium	0	0	0	0	11	0	0	0	0	61	0	0	0	0	24	0	0	0	0	57	0	0
sphingomonas caulobacter leidyia	1	4	6	14	0	10	0	23	0	0	0	10	0	1	0	40	0	1	19	0	563	0
stenotrophomonas maltophilia	0	2	1	18	0	15	0	8	0	0	0	2	0	1	0	29	22	0	35	0	274	1
vibrio harveyi	0	0	0	0	0	0	26	0	0	16	0	0	0	0	6	0	1	0	0	5	0	0
erythrobacter vulgaris	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	54	0	0	0
synechococcus cyanobacterium 5x15	0	1	2	0	0	0	0	41	0	0	0	7	10	1	0	0	0	25	0	0	0	0
corynebacterium diphtheriae	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	37	0	0	0
nitrincola	2	1	0	1	9	5	0	0	5	0	33	1	0	8	0	0	2	0	2	0	0	0
acinetobacter calcoaceticus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	169	0
vibrio alginolyticus	0	0	0	0	3	0	89	0	0	33	0	0	0	0	5	0	12	1	0	15	0	0
bacillus pumilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251
ectothiorhodospiraceae	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	3	24	0	0	0	0
mesoflavibacter zeaxanthinifaciens	2	5	0	0	0	0	0	0	0	0	1	19	0	0	0	1	0	0	0	0	0	0
verrucomicrobia	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565
thalassomonas	168	20	0	17	2	4	1	0	30	1	52	197	0	0	0	45	11468	0	35	0	0	0
pseudomonas thermaerum	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	1070
ruegeria mobilis	10	153	11	11	14	18	1	6	88	15	152	13	0	67	3	28	130	12	35	4	0	0
arcobacter bivalviorum	7	2	0	0	22	23	0	0	0	0	45	4	0	0	0	0	21	0	0	0	0	0
truepera	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corynebacterium glutamicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0
sphingomonadales	0	0	0	0	2	0	0	0	0	0	7	0	0	9	0	0	10	0	0	0	0	0
bacteriovoracaceae	0	0	0	7	1	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
hyphomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
candidatus atelocyanobacterium cyanobacterium ucyn_a	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	9	0	50	0	0	0
enterococcus sulfureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
enhydrobacter aerosaccus	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	21	0
staphylococcus sciuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759
sphingobium yanoikuyae	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
celeribacter neptunius	1	18	0	3	5	12	0	0	6	0	1	3	0	7	0	3	2	0	0	0	0	0
thalassobius mediterraneus	16	90	0	9	11	41	3	0	24	2	24	16	0	11	0	19	184	0	0	0	0	0
pseudoalteromonas flavipulchra	0	2	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	16	0	0	0	0
haliscomenobacteraceae	8	7	0	0	5	3	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0
chromatiales	0	0	0	3	1	0	0	0	6	0	4	0	0	0	0	0	165	0	47	0	0	0
vibrio rotiferianus	0	0	0	0	19	2	36	0	1	1127	2	1	0	21	811	2	9	0	0	820	0	0
rhodovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
entomoplasmatales	0	0	0	0	0	8	0	36	5	0	0	0	5	0	0	4	0	4	5	0	0	0
enterococcus villorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1905
rhodopseudomonas palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
thioprofundum	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
roseobacter denitrificans	8	13	0	11	6	4	0	0	68	8	2	0	0	74	3	5	15	0	13	0	0	0
photobacterium profundum	0	0	0	0	3	0	14	0	0	100	0	0	0	0	129	0	1	0	0	73	0	0
leisingera aquimarina	1	1	3	3	0	0	0	0	9	0	10	0	0	6	4	0	15	0	0	0	0	0
pseudomonas argentinensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	8	4	0	0	0
pseudoruegeria aquimaris	8	16	12	5	6	13	1	17	3	1	85	57	3	23	1	11	134	0	1	1	0	0
marinifilum fragile	0	0	0	0	2	0	1	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0
bacillus alkalitelluris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
acinetobacter junii	44	128	91	642	47	231	0	793	0	7	0	455	0	65	0	1056	289	743	1838	0	30545	2
endozoicomonas	90	126	20	81	453	106	0	209	221	0	425	95	72	386	1	32	68	208	93	0	0	0
desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0
marinobacter salsuginis	1	2	0	0	18	7	0	0	17	0	13	12	0	21	0	0	10	0	0	0	0	0
oleibacter	1	1	0	0	4	0	0	0	5	0	11	0	0	10	0	0	0	0	0	0	0	0
marinobacterium	0	0	0	0	8	3	0	0	1	0	5	1	0	6	0	0	1	0	0	0	0	0
gammaproteobacteria	0	0	0	25	0	23	0	0	1	0	0	0	0	0	0	0	0	0	144	0	0	0
pelomonas aquatica	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	9	0	20	5	0	0	0
myxococcales	1	0	37	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vibrio orientalis	1	0	0	0	9	7	95	6	0	54	4	1	0	22	8	0	164	38	13	14	0	0
vibrio shilonii	0	1	0	0	11	16	1	0	0	2	1	4	0	2	0	0	57	0	0	2	0	0
labrenzia aggregata	1	5	0	18	1	1	0	0	25	7	2	1	0	41	3	0	0	5	31	1	0	0
kordiimonas	0	5	0	0	5	1	0	0	25	0	96	132	0	57	0	0	29	0	170	2	0	0
loktanella agnita	0	29	0	0	0	16	0	34	0	0	0	0	0	0	0	36	0	0	0	0	0	0
parvularculales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	7	0	488	0	0	0
jannaschia rubra	0	3	0	20	15	0	0	0	27	2	1	1	0	74	0	0	0	0	50	3	0	0
shigella sonnei	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1671
spirochaeta	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photococcus caeruleum	0	0	0	0	222	0	219	0	1	1134	0	0	0	0	706	0	25	0	0	795	0	0
oceanospirillum nioense	0	55	0	21	175	94	0	0	249	16	388	0	0	182	1	1	76	0	30	0	0	0
amphritea japonica	3	0	0	0	2	4	0	0	0	0	31	0	0	4	0	0	147	0	0	0	0	0
photobacterium phosphoreum	8	10	0	4	3073	10	8299	0	46	18376	9	18	21	13	21167	21	2091	0	0	15805	0	0
alphaproteobacteria	0	0	31	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1565	0	0	0	0
tropicibacter phthalicus	18	64	0	21	7	89	7	0	32	4	267	16	0	105	7	8	382	0	50	1	0	0
rubritalea spongiae	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
listeria welshimeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4356
achromobacter xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
lactobacillus fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4106
leisingera phaeobacter caeruleus	5	10	0	11	19	27	4	8	21	11	40	5	0	45	1	0	72	0	0	0	0	0
tepidiphilus succinatimandens	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arcobacter	0	0	0	0	5	8	0	0	0	0	21	6	0	2	9	0	0	0	0	1	0	0
holosporales	0	5	0	0	0	1	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0
thalassolituus oleivorans	6	5	0	0	4	32	0	0	0	0	203	6	0	94	0	0	484	0	0	0	0	0
ferrimonas kyonanensis	0	1	0	0	7	0	276	0	0	106	0	0	0	0	9	0	4	0	0	7	1	0
rubribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0
ferrimonas futtsum	0	2	0	11	1347	0	31	0	38	5700	5	8	0	1	4202	0	1373	0	24	4393	1	0
haliea mediterranea	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
cellulomonas bogoriensis	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methylophaga	2	34	0	828	1950	0	0	0	5347	64	0	0	0	7409	312	0	0	0	3452	139	0	0
fusibacter	0	5	0	18	45	0	28	0	25	1755	4	2	0	24	7	0	188	0	37	30	0	0
parvularculaceae	0	0	16	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0
propionigenium maris	1	0	3	0	2	0	20560	0	42	123	3	0	7	0	5332	0	0	0	0	6375	0	0
thalassotalea ganghwensis	8	80	0	0	57	72	2	0	50	2	102	11	0	5	0	39	310	0	54	0	0	0
vibrio	0	0	0	0	253	0	47	0	0	458	0	0	0	0	0	0	1	0	0	218	0	0
ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	69	0
cytophagaceae	0	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
alteromonadaceae	9	2	0	4	38	45	0	0	33	0	26	5	0	35	0	0	0	0	3	0	0	0
thalassotalea thalassomonas ganghwensis	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	30	0	0	0	0	0
fulvivirgaceae	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
