otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	1-CA2a	1-CH2a	1-Ea	1-PA2a	1-PH1a	2-CA2a	2-CH1b	2-Ea	2-PA1b	2-PH2a	3-CA1b	3-CH2a	3-Eb	3-PA1a	3-PH1b	4-CA1a	4-CH1a	4-Ea	4-PA2a	4-PH1b	blank-060823STillcus515F	mock-060823STillcus515F	
Zotu34	d38625.1 orientia tsutsugamushi str. kawasaki  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rickettsiales;f__rickettsiaceae;g__orientia;s__orientia tsutsugamushi;superkingdom__bacteria;tribe__rickettsieae	84.1897233201581	3.50529e-70	269.988			0	0	31	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1565	0	0	0	0
Zotu35	shimia marina  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__roseobacteraceae;g__shimia;s__shimia marina;superkingdom__bacteria;	100	1.22023e-126	457.539			20	36	0	10	8	98	0	0	26	3	286	63	0	36	1	7	1122	0	35	1	0	0
Zotu36	ef125434.1 mangrove soil clone msb_2d5   ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__clostridiaceae;g__alkaliphilus;s__alkaliphilus transvaalensis;superkingdom__bacteria;	94.4444444444444	4.24358e-107	392.617			2	0	0	1	17	0	865	0	4	312	0	3	0	203	0	0	8	0	0	192	0	0
Zotu37	x95459.1 methylophaga marina str. dsm 5989  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__thiotrichales;f__piscirickettsiaceae;g__methylophaga;s__methylophaga marina;superkingdom__bacteria	96.8379446640316	8.78625e-116	421.471			0	7	0	126	258	0	0	0	429	0	0	0	0	862	8	0	0	0	245	4	0	0
Zotu38	fm204861.1 vibrio rotiferianus str. lpd 1_1_11  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio rotiferianus;superkingdom__bacteria;species group  vibrio harveyi group	100	1.22023e-126	457.539			0	0	0	0	9	2	9	0	1	532	2	1	0	21	307	2	3	0	0	374	0	0
Zotu39	marinifilum fragile  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__marinilabiliales;f__marinifilaceae;g__marinifilum;s__marinifilum fragile; superkingdom__bacteria;	94.8616600790514	1.00251e-108	398.929			0	2	0	5	90	0	353	0	2	443	0	2	0	0	98	0	81	0	0	118	0	0
Zotu40	af335596.2 enterococcus villorum str. atcc 700913  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__enterococcaceae;g__enterococcus;s__enterococcus villorum;superkingdom__bacteria	100	1.22023e-126	457.539			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1517
Zotu41	marinifilum fragile  ;k__bacteria;p__bacteroidetes;c__bacteroidia;o__marinilabiliales;f__marinifilaceae;g__marinifilum;s__marinifilum fragile; superkingdom__bacteria;	95.2569169960474	2.35768e-110	403.438			1	8	0	0	192	0	266	0	13	337	0	2	0	0	159	9	167	0	13	36	0	0
Zotu42	fm204861.1 vibrio rotiferianus str. lpd 1_1_11  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio rotiferianus;superkingdom__bacteria;species group  vibrio harveyi group	98.8142292490119	2.68774e-122	444.013			0	0	0	0	4	0	11	0	0	408	0	0	0	0	346	0	3	0	0	304	0	0
Zotu43	ab088116.1 pseudomonas thermaerum str. t1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas thermaerum;superkingdom__bacteria	100	1.22023e-126	457.539			0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	959
Zotu44	halomicronema metazoicum itac101  ;k__bacteria;p__cyanobacteria;c__cyanobacteria;o__pseudanabaenales;f__prochlorotrichaceae;g__halomicronema;s__halomicronema metazoicum; superkingdom__bacteria;	92.094861660079	1.69764e-99	367.37			0	0	0	0	0	0	0	0	0	0	0	0	0	1127	0	0	0	0	0	0	0	0
Zotu45	gq895735.1 ralstonia pickettii str. dx_t3_01  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__ralstonia;s__ralstonia pickettii;superkingdom__bacteria	100	1.22023e-126	457.539			0	10	6	13	3	0	0	17	0	0	0	19	0	12	0	33	0	77	8	0	972	0
Zotu46	fj404753.1 vibrio sp. str. dh51  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio rumoiensis;superkingdom__bacteria	97.6284584980237	1.69615e-118	430.488			0	0	0	0	843	5	2	0	0	85	0	0	0	5	3	0	6	0	0	127	0	0
Zotu47	neptuniibacter caesariensis ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__oceanospirillaceae;g__neptuniibacter;s__neptuniibacter caesariensis;superkingdom__bacteria	100	1.22023e-126	457.539			5	6	0	0	29	7	0	0	37	0	70	0	0	7	4	0	908	0	0	0	0	0
Zotu48	tropicibacter phthalicus  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__roseobacteraceae;g__tropicibacter;s__tropicibacter phthalicus;superkingdom__bacteria;	100	1.22023e-126	457.539			18	64	0	21	7	89	7	0	32	4	267	16	0	105	7	8	382	0	50	1	0	0
Zotu49	x80681.1 salmonella typhimurium str. atcc 13311   ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__enterobacterales;f__enterobacteriaceae;g__salmonella;s__salmonella enterica; superkingdom__bacteria;	100	1.22023e-126	457.539			0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	20	743
Zotu50	ay345894.1 photobacterium phosphoreum ak9  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photobacterium;s__photobacterium phosphoreum;superkingdom__bacteria	98.4189723320158	3.27433e-121	439.505			0	0	0	0	19	0	71	0	0	363	0	0	0	1	274	0	9	0	0	234	0	0
Zotu51	oceanospirillum nioense ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__oceanospirillaceae;g__oceanospirillum;s__oceanospirillum nioense;superkingdom__bacteria	100	1.22023e-126	457.539			0	47	0	19	158	76	0	0	224	16	321	0	0	160	1	0	74	0	29	0	0	0
Zotu52	ruegeria mobilis  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__roseobacteraceae;g__ruegeria;s__ruegeria mobilis;superkingdom__bacteria;	100	1.22023e-126	457.539			10	153	11	11	14	18	1	6	88	15	152	13	0	67	3	28	130	12	35	4	0	0
Zotu53	thalassolituus oleivorans ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__oceanospirillaceae;g__thalassolituus;s__thalassolituus oleivorans;superkingdom__bacteria	99.2094861660079	6.32095e-124	448.522			6	5	0	0	4	32	0	0	0	0	203	6	0	94	0	0	484	0	0	0	0	0
Zotu54	sagittula stellata  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__roseobacteraceae;g__sagittula;s__sagittula stellata;superkingdom__bacteria;	99.2094861660079	6.32095e-124	448.522			21	34	2	10	5	71	1	0	65	10	156	47	0	64	4	8	225	6	41	3	0	0
Zotu55	gq043854.1 topographical and temporal human skin microbiome skin plantar heel clone nbw972a07c1  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__sphingomonadales;f__sphingomonadaceae;g__sphingomonas;s__caulobacter leidyia;superkingdom__bacteria	100	1.22023e-126	457.539			1	4	6	14	0	10	0	23	0	0	0	10	0	1	0	40	0	1	19	0	563	0
Zotu56	parvularcula lutaonensis ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__parvularculales;f__parvularculaceae;g__parvularcula;s__parvularcula lutaonensis;superkingdom__bacteria	88.9328063241107	1.22239e-88	331.303			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	7	0	488	0	0	0
Zotu57	fn563421.1 acinetobacter genomosp. 3 str. bpoe1350  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__moraxellales;f__moraxellaceae;g__acinetobacter;s__acinetobacter genomosp. 3; superkingdom__bacteria;	100	1.22023e-126	457.539			0	4	4	4	2	1	0	17	0	1	0	12	0	0	0	37	9	8	42	0	540	0
Zotu58	marinobacterium jannaschii  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__oceanospirillaceae;g__marinobacterium;s__marinobacterium jannaschii; superkingdom__bacteria;	97.2332015810277	2.06633e-117	426.881			2	5	0	0	9	14	0	0	8	0	146	22	0	0	1	0	413	0	56	0	0	0
Zotu59	kordiimonas aestuarii ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__kordiimonadales;f__kordiimonadaceae;g__kordiimonas;s__kordiimonas aestuarii;superkingdom__bacteria	96.4426877470356	3.73601e-114	416.963			0	5	0	0	5	1	0	0	19	0	75	121	0	46	0	0	27	0	152	1	0	0
Zotu61	cp001805.1 vibrio sp. ex25 str. ex25  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio orientalis;superkingdom__bacteria	100	1.22023e-126	457.539			1	0	0	0	9	7	95	6	0	54	4	1	0	22	8	0	164	38	13	14	0	0
Zotu62	alkaliphilus metalliredigens qymf  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__clostridiaceae;g__alkaliphilus;s__alkaliphilus metalliredigens;superkingdom__bacteria;	92.4603174603175	4.84192e-100	369.174			2	1	0	0	30	0	1	0	26	2	0	0	0	2	1	0	34	0	0	412	0	0
Zotu63	fj404753.1 vibrio sp. str. dh51  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio rumoiensis;superkingdom__bacteria	98.0237154150198	1.39228e-119	434.095			0	0	0	4	16	1	40	0	0	285	0	0	0	0	0	0	5	0	0	17	0	0
Zotu64	bacillus subtilis subsp. subtilis ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillaceae;g__bacillus;s__bacillus subtilis;superkingdom__bacteria;species group  bacillus subtilis group;subspecies  bacillus subtilis subsp. subtilis	99.2094861660079	6.32095e-124	448.522			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627
Zotu65	bacillus megaterium ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillaceae;g__bacillus;s__bacillus megaterium;superkingdom__bacteria	99.604743083004	5.18855e-125	453.03			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367
Zotu66	dq079059.1 stenotrophomonas maltophilia sa ant15  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__stenotrophomonas;s__stenotrophomonas maltophilia;superkingdom__bacteria	100	1.22023e-126	457.539			0	2	1	18	0	15	0	8	0	0	0	2	0	1	0	29	22	0	35	0	274	1
Zotu67	ab245515.1 deselenobacterium futtsum str. fut3661  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__ferrimonadaceae;g__ferrimonas;s__ferrimonas futtsum;superkingdom__bacteria	98.0237154150198	1.39228e-119	434.997			0	0	0	0	60	0	2	0	0	231	0	0	0	0	106	0	7	0	0	142	0	0
Zotu68	nc_008555.1 listeria welshimeri serovar 6b str. slcc5334  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__listeriaceae;g__listeria;s__listeria welshimeri;superkingdom__bacteria	99.2094861660079	6.32095e-124	448.522			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306
Zotu69	haliea rubra ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__cellvibrionales;f__halieaceae;g__pseudohaliea;s__haliea rubra;superkingdom__bacteria	94.0711462450593	5.19313e-106	389.011			2	0	12	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0
Zotu70	neptuniibacter halophilus ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__oceanospirillaceae;g__neptuniibacter;s__neptuniibacter halophilus;superkingdom__bacteria	94.4664031620553	1.22131e-107	394.421			0	0	0	7	161	5	0	0	64	0	9	0	0	106	0	0	1	0	7	0	0	0
Zotu71	fm204861.1 vibrio rotiferianus str. lpd 1_1_11  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio rotiferianus;superkingdom__bacteria;species group  vibrio harveyi group	98.4189723320158	3.27433e-121	439.505			0	0	0	0	3	0	5	0	0	124	0	0	0	0	86	0	0	0	0	88	0	0
Zotu72	af335596.2 enterococcus villorum str. atcc 700913  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__enterococcaceae;g__enterococcus;s__enterococcus villorum;superkingdom__bacteria	98.0237154150198	1.39228e-119	434.095			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388
Zotu73	endozoicomonas montiporae  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__endozoicomonadaceae;g__endozoicomonas;s__endozoicomonas montiporae; superkingdom__bacteria;	96.8379446640316	8.78625e-116	421.471			10	7	3	30	189	15	0	7	95	0	37	3	7	202	1	9	7	16	19	0	0	0
Zotu74	endozoicomonas montiporae  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__endozoicomonadaceae;g__endozoicomonas;s__endozoicomonas montiporae; superkingdom__bacteria;	98.0237154150198	1.39228e-119	434.997			32	60	31	20	13	42	0	8	27	0	126	36	4	79	0	20	9	5	23	0	0	0
Zotu75	psychrosphaera saromensis ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__pseudoalteromonadaceae;g__psychrosphaera;s__psychrosphaera saromensis;superkingdom__bacteria	98.8142292490119	2.68774e-122	444.013			6	7	0	2	55	8	0	0	28	3	60	4	0	3	0	0	163	0	4	1	0	0
Zotu76	fj404753.1 vibrio sp. str. dh51  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio rumoiensis;superkingdom__bacteria	96.4426877470356	3.73601e-114	416.963			0	0	0	0	173	0	1	0	0	86	0	0	0	0	0	0	1	0	0	131	0	0
Zotu78	nc_008358.1 hyphomonas neptunium str. atcc 15444   ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__hyphomonadales;f__hyphomonadaceae;g__hyphomonas;s__hyphomonas neptunium;superkingdom__bacteria;	98.8142292490119	2.68774e-122	444.013			8	17	6	5	12	12	0	0	163	1	3	9	0	36	0	0	17	0	51	0	0	0
Zotu79	thalassotalea ganghwensis ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__alteromonadales;f__colwelliaceae;g__thalassotalea;s__thalassotalea ganghwensis;superkingdom__bacteria	98.0237154150198	1.39228e-119	434.997			4	34	0	0	25	23	2	0	24	2	43	0	0	0	0	0	193	0	54	0	0	0
Zotu80	fj404753.1 vibrio sp. str. dh51  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__vibrio;s__vibrio rumoiensis;superkingdom__bacteria	96.8379446640316	8.78625e-116	421.471			0	0	0	0	5	0	42	0	0	228	0	0	0	0	0	0	0	0	0	21	0	0
Zotu81	endozoicomonas euniceicola  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__oceanospirillales;f__endozoicomonadaceae;g__endozoicomonas;s__endozoicomonas euniceicola; superkingdom__bacteria;	96.4426877470356	3.73601e-114	416.963			2	1	0	9	4	1	0	74	0	0	8	30	33	0	0	0	8	76	53	0	0	0
Zotu82	cr378672.1 photobacterium profundum ss9 str. ss9  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photobacterium;s__photobacterium profundum;superkingdom__bacteria	97.6284584980237	1.69615e-118	430.488			0	0	0	0	3	0	14	0	0	100	0	0	0	0	129	0	1	0	0	73	0	0
Zotu83	bacillus megaterium ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillaceae;g__bacillus;s__bacillus megaterium;superkingdom__bacteria	99.2094861660079	6.32095e-124	448.522			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284
Zotu84	photococcus caeruleum ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__vibrionales;f__vibrionaceae;g__photococcus;s__photococcus caeruleum;superkingdom__bacteria	100	1.22023e-126	457.539			0	0	0	0	19	0	14	0	0	111	0	0	0	0	63	0	0	0	0	64	0	0
